szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Mérő Ferenc,"Fáradhatatlan harcos, A : Kolping Adolf élete és műve","235.3 Kolping, A., B.",,Kolping-Verl.,1957,hagiográfia; életrajz; szentek élete; vallásos egyesületek; Kolping-mozgalom,http://nektar.oszk.hu/hu/manifestation/1377737,
"Windeatt, Mary Fabyan",Monforti Grignon Szent Lajos Mária,"235.3 Lajos Mária, Monforti Grignon Szt",,Kiss Mária Hortensia - Szt. Gellért,1992,hagiográfia; életrajz; szentek élete; misszió; Mária-tisztelet; Mária Társasága,http://nektar.oszk.hu/hu/manifestation/49437,
Mezey László (szerk.),Athleta patriea [!] : Tanulmányok Szent László történetéhez,"235.3A László, Szt király",,Szt. István Társ.,1980,magyar történelem; hagiográfia; szentek élete,http://nektar.oszk.hu/hu/manifestation/672995,
Szőke Gyula (összeáll.),"Szent László király : szentté avatásának 800., halálának 900. évfordulója alkalmával","235.3 László, Szt király",,Szt. László Alapítvány,1993,magyar történelem; művelődéstörténet; hagiográfia; szentek élete; életrajz; magyar szentek; emlékkönyv,http://nektar.oszk.hu/hu/manifestation/59696,
Radnai Tibor (összeáll.),Boldog Lipót atya : Mandich Lipót kapucinus : a gyóntatás és a keresztény egység apostola,"235.3 Lipót, Castelnuovói Szt",,Prugg,1977,Leopold Mandic; hagiográfia; szentek élete; életrajz; kapucinus rend; szentségek; bűnbocsánat; kiengesztelődés,http://nektar.oszk.hu/hu/manifestation/3151717,
"Vecchi, Alberto","Mandic Lipót, a szent gyóntató","235.3 Lipót, Castelnuovói Szt",,Kršćanska sadašnjost - Agapé,1989,Leopold Mandic; hagiográfia; szentek élete; életrajz; kapucinus rend; szentségek; bűnbocsánat; kiengesztelődés; keresztény egység,http://nektar.oszk.hu/hu/manifestation/813767,
Jármai Edit RSCJ,Tűzben ízzó élet : Barat Szent Magdolna Zsófia,"235.3 Magdolna, Barat Szt",,Veritas,1944,hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/2944369,
Bali Mária Ildefonsa - Kákonyi Mária Constantina (rajzolta),"Királylány legendája : íme szerető atyámfiai, ez Margitnak, magyar király leányának gyönyörűséges élete","235.3 Margit, Árpád-házi Szt",,Korda,1942,Árpád-házi Szt Margit; hagiográfia; szentek élete; képeskönyv,http://nektar.oszk.hu/hu/manifestation/3138314,
Baros Gyula átírásában,Boldog Margit legendája,"235.3A Margit, Árpád-házi Szt",,Egyetemi Ny.,1938,Árpád-házi Szt Margit; hagiográfia; szentek élete; magyar szentek; magyar irodalom; életrajz,http://nektar.oszk.hu/hu/manifestation/1581885,
Bőle Kornél OP,"Árpádházi Szent Margit szenttéavatási bullája : [""Maxima inter munera""]","235.3 Margit, Árpád-házi Szt",,Credo,1944,Árpád-házi Szt Margit; hagiográfia; szentek élete; magyar szentek; domonkos rend,http://nektar.oszk.hu/hu/manifestation/2946698,
Király Ilona,Árpádházi Szent Margit és a sziget,"235.3 Margit, Árpád-házi Szt",,Szt. István Társ.,1979,Árpád-házi Szt Margit; hagiográfia; életrajz; szentek élete; Margit-sziget,http://nektar.oszk.hu/hu/manifestation/672975,
"Windeatt, Mary Fabyan","Szeretet fekete apostola, A : Szent Porres Márton domonkos testvér csodálatos élete, 1579-1639","235.3 Márton, Porres Szt",,Márton Áron K.,1995,Martin de Porres; hagiográfia; szentek élete; életrajz; domonkos rend,http://nektar.oszk.hu/hu/manifestation/116020,
"Dobraczyński, Jan",Maximilian Kolbe,"235.3 Maximilián, Kolbe Szt",,Ecclesia,1978,hagiográfia; életrajz; szentek élete; vértanúság; deportálás; koncentrációs tábor; ferences rend,http://nektar.oszk.hu/hu/manifestation/673762,
"Bougaud, Émile",Szent Mónika élete,"235.3 Mónika, Szt",,Szt. István Társ.,2005,hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/2607065,
Pálffy Erzsébet,Szent Erzsébet asszony ,235.3 P15,,s.n.,1931,Árpád-házi Szt Erzsébet; életrajzi regény,http://nektar.oszk.hu/hu/manifestation/3464648,
Pálffy Erzsébet,Baylon Szent Paszkál élete : az eucharisztikus művek és egyesületek védőszentje,"235.3A Paszkál, Baylon Szt",,Ferences Közlöny,1932,hagiográfia; szentek élete; életrajz; Eucharisztia; Oltáriszentség,http://nektar.oszk.hu/hu/manifestation/1576460,
"Lepori, Mauro Giuseppe","Péternek nevezett Simon, A : egy Istent követő ember nyomában","235.3 Péter apostol, Szt",,Szt. István Társ.,2007,apostol; őskereszténység; hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/2710382,
"Höver, Ferdinand SJ","Kláver Sz. Péter, a négerek és Karthagéna apostola","235.3 Péter, Claver Szt",,Jurcso Ny.,1908,"hagiográfia; életrajz; szentek élete; jezsuita rend; Cartagena, Kolumbia",http://nektar.oszk.hu/hu/manifestation/3246615,
Begyik Tibor,"Üdvözítő szeretet megsebzettje, Az : Pietrelcinai Szent Pio","235.3 Pio, Pietrelcinai Szt",,szerző,2002,Pio atya; Francesco Forgione; hagiográfia; életrajz; szentek élete; aszketika; misztika; kapucinus rend,http://nektar.oszk.hu/hu/manifestation/949484,
Blanár Mihály,Pio atya : a titokzatos karizmatikus,"235.3 Pio, Pietrelcinai Szt",,Wiener Kauziner Kloster,1987,Francesco Forgione; hagiográfia; életrajz; szentek élete; aszketika; misztika; kapucinus rend,http://nektar.oszk.hu/hu/manifestation/810125,
Harmath Károly (összeáll.),"Szeretet megsebzettje, A : Pietrelcinai Pio atya","235.3 Pio, Pietrelcinai Szt",,"Našice, R.K. Plébániahiv.",1979,"Francesco Forgione; hagiográfia, életrajz; szentek élete; aszketika; misztika; kapucinus rend",http://nektar.oszk.hu/hu/manifestation/3528886,
"Winowska, Maria",Padre Pio igazi arca : evilági és síron túli élete,"235.3 Pio, Pietrelcinai Szt",,Ecclesia,1988,Francesco Forgione; hagiográfia; életrajz; szentek élete; aszketika; misztika; kapucinus rend,http://nektar.oszk.hu/hu/manifestation/673884,
,Pio atya : korunk titokzatos kiválasztottja,"235.3 Pio, Pietrelcinai Szt",,Prugg,1977,Francesco Forgione; hagiográfia; életrajz; szentek élete; aszketika; misztika; kapucinus rend,http://nektar.oszk.hu/hu/manifestation/3607583,
,Pio atya levelei : egy misztikus szent vallomásai lelkivezetőihez : a szent sebhelyek : Jézus társa a szenvedésben,"235.3 Pio, Pietrelcinai Szt",,MÉCS Családközösségek,2008,"Francesco Forgione; hagiográfia; életrajz; szentek élete; aszketika; misztika; kapucinus rend, levelek",http://nektar.oszk.hu/hu/manifestation/2787913,
Czaich Árpád Gilbert OFMConv - Fráter Aladár,X. Pius pápa életének és uralkodásának története napjainkig,"235.3A Pius, X. Szt",,Athenaeum,1907,Giuseppe Sarto; egyháztörténet; pápaság; életrajz,http://nektar.oszk.hu/hu/manifestation/3067142,
"Facchinetti, Vittorino",X. Pius pápa lelke,"235.3A Pius, X. Szt",,Kapisztrán Ny.,1935,egyháztörténet; pápaság; életrajz; Giuseppe Sarto,http://nektar.oszk.hu/hu/manifestation/1535194,
"Lemoine, Jo",Szent Rita,"235.3 Rita, Casciai Szt",,Szt. István Társ.,1985,hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/673207,
"Martirani, Giuliana","Maria Romero : ""kontempl-aktívan"" a legszegényebbek szolgálatában","235.3 Romero Meneses, Maria B. SDB",,Don Bosco,2004,hagiográfia; életrajz; szentek élete; Nicaragua; Costa Rica; misszió; Szalézi Nővérek,http://nektar.oszk.hu/hu/manifestation/1076493,
Puskás László,Megalkuvás nélkül : Boldog Romzsa Tódor élete és vértanúhalála,"235.3 Romzsa Tódor, B.",,Barnaföldi Archívum,2005,hagiográfia; szentek élete; papi sorsok; görögkatolikus egyház; egyháztörténet; egyházüldözés; Kárpátalja; vértanúság; életrajz,http://nektar.oszk.hu/hu/manifestation/2563957,
Samassa Désy Annie,Barat Szent Magdolna Zsófiának a Szent-szív szerzetesrend alapítójának élete,235.3 S13,,Szt. István Társ.,1925,hagiográfia; életrajz; szentek élete; Madelaine-Sophie,http://nektar.oszk.hu/hu/manifestation/2911230,
Hidvégi Máté (﻿szerk.﻿),Boldog Salkaházi Sára : emlékkönyv Salkaházi Sára 2006. szeptember 17-i budapesti boldoggáavatása alkalmából a Szociális Testvérek Társasága és a Szent István Társulat együttműködésében,"235.3A Salkaházi S., B.",,Szt. István Társ.,2006,vértanú; Szociális Testvérek Társasága; hagiográfia; szentek élete; életrajz; személyi bibliográfia,http://nektar.oszk.hu/hu/manifestation/2628837,
Schéda Mária SSS,"Boldog vagy, Sára? : Salkaházi Sára útja a vértanúságig","235.3 Salkaházi S., B.",,Új Ember,2006,hagiográfia; életrajz; szentek élete; vértanúság; Magyarország; szerzetesrendek; Szociális Testvérek Társasága; zsidóság; elbeszélések,http://nektar.oszk.hu/hu/manifestation/2646791,
Ormos István (ford.),Csodatévő Takla Hájmánót : Válogatás,"235.3 Takla H., Szt",,Helikon,1986,etiópiai kopt irodalom; ókeresztény legenda; hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/787794,
"Chesterton, Gilbert Keith",Aquini Szent Tamás,"235.3 Tamás, Aquinói Szt",,Szt. István Társ.,1986,hagiográfia; szentek élete; életrajz; filozófia; tomizmus,http://nektar.oszk.hu/hu/manifestation/2925178,
P.K.,Morus Szent Tamás élete,"235.3 Tamás, Morus Szt",,Élet Ny.,1935,Thomas More; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/1537349,
"Tauscher, Anna Maria","Szent Józsefről nevezett Mária-Terézia anya : Anna Maria Tauscher van den Bosch, a Jézus Isteni Szívéről Nevezett Kármelita Nővérek alapítónőjének önéletrajz","235.3 Tauscher, M. DCJ, B.",,Szt. István Társ.,1997,hagiográfia; életrajz; szentek élete; kármelita rend; memoár,http://nektar.oszk.hu/hu/manifestation/272765,
"Di Falco, Jean-Michel",Teréz anya avagy A hit csodái ,"235.3 Teréz anya, Kalkuttai, B.",,Largo,2000,Agnes Gouxha Bojaxhiu; hagiográfia; életrajz; szentek élete; szerzetesség története; női szerzetesrendek; missziós apácák; Szeretet Misszionáriusai; szeretetszolgálat; szegénygondozás; India,http://nektar.oszk.hu/hu/manifestation/446842,
Hajdók János,Kalkuttai Teréz anya,"235.3 Teréz anya, Kalkuttai, B.",,Ecclesia,1985,Agnes Gouxha Bojaxhiu; hagiográfia; életrajz; szentek élete; szerzetesség története; női szerzetesrendek; missziós apácák; Szeretet Misszionáriusai; szeretetszolgálat; szegénygondozás,http://nektar.oszk.hu/hu/manifestation/673782,
"Maasburg, Leo",Teréz anya : csodálatos történetek,"235.3 Teréz anya, Kalkuttai, B.",,Vigilia,2010,Agnes Gouxha Bojaxhiu; hagiográfia; életrajz; szentek élete; szerzetesség története; női szerzetesrendek; missziós apácák; Szeretet Misszionáriusai; szeretetszolgálat; szegénygondozás; India,http://nektar.oszk.hu/hu/manifestation/3260093,
"Muggeridge, Malcolm",Valami nagyon szépet Istenért : a kalkuttai Teréz anya,"235.3 Teréz anya, Kalkuttai, B.",,Prugg,1977,Agnes Gouxha Bojaxhiu; hagiográfia; életrajz; szentek élete; szerzetesség története; női szerzetesrendek; missziós apácák; szeretetszolgálat; szegénygondozás,http://nektar.oszk.hu/hu/manifestation/1392727,
Therese de l'Enfant Jésus (Lisieux-i Szt Teréz),Lisieux-i Szent Teréz önéletrajza,"235.3 Teréz, Lisieux-i Szt",,Ecclesia,2005,hagiográfia; szentek élete; életrajz; Therese de l'Enfant Jésus; Kis Szt Teréz; kármelita rend; Franciaország,http://nektar.oszk.hu/hu/manifestation/2589382,
Ambrózy Ágoston,Szőlőhegyek védőszentjei : különös tekintettel a tokaj - hegyaljai nagy magyar borvidékre és a szentévre,235.3 Vegyes A52,,szerző,1933,hagiográfia; szentek élete; szőlészet; borászat; életrajzok,http://nektar.oszk.hu/hu/manifestation/2971750,
Csanád Béla,"Védőszented példaképed : 125 szent rövid életrajza és története bérmálkozó fiataloknak és felnőtteknek ... : Függelék: A szentek új magyar egyházi kalendáriuma, életük és ünnepük rövid ismertetésével",235.3 Vegyes C38,,Ecclesia,1984,hagiográfia; szentek élete; életrajzok,http://nektar.oszk.hu/hu/manifestation/673959,
Diós István (szerk.),Szentek élete,235.3A Vegyes,,Szt. István Társ.,2001-2002,hagiográfia; egyházi év; életrajzok,http://nektar.oszk.hu/hu/manifestation/904435,
Dümmerth Dezső,"Titokzatos jelbeszéd, A : A magyar szent királyok nemzetsége",235.3 Vegyes D99,,Panoráma,1989,magyar történelem; Árpád-házi királyok; családtörténet; hagiográfia; szentek élete; magyar szentek,http://nektar.oszk.hu/hu/manifestation/650795,
Fekete Antal,"Keresztneveink, védőszentjeink",235.3 Vegyes F37,,Ecclesia,1974,hagiográfia; szentek élete; életrajzok,http://nektar.oszk.hu/hu/manifestation/1270139,
Györffy Rózsa,Új magyar legendárium : Szent magyarok történetei,235.3 Vegyes G89,,szerző,1988,hagiográfia; szentek élete; magyar szentek; Szt I. István király; Szt Imre; Szt Gellért; Szt I. László király; Árpád-házi Szt Erzsébet; Árpád-házi Szt Margit; életrajzok,http://nektar.oszk.hu/hu/manifestation/697876,
Hevenesi Gábor SJ,"Régi magyar szentség avagy Ötvenöt magyar szent és boldog, valamint tiszteletreméltó ... rövid emlékezete, akiket vagy az Apostoli Szék, vagy a nép ... a szentek jegyzékébe iktatott vagy akik szentség hírében ékeskedtek",235.3 Vegyes H66,,Új Ember,1999,hagiográfia; életrajzok; szentek élete,http://nektar.oszk.hu/hu/manifestation/339876,
Kardos Tibor (sajtó alá rend.),Legendák könyve,235.3 Vegyes L43,,Ardói,1943,magyar egyháztörténet; hagiográfia; szentek élete; magyar szentek; Szt I. István király; Szt Imre; Árpád-házi Szt Erzsébet; Árpád-házi Szt Margit; Szt I. László király; Szt Gellért; Remete Szt Pál; karthauzi rend; Szt Brúnó; Szt Elek; Szt Barlám és Jozafát,http://nektar.oszk.hu/hu/manifestation/3482744,
Kiss Imre,Jézus barátai,235.3 Vegyes K54,,Österr. Seelsorge Inst.,1966,hagiográfia; szentek élete; magyar szentek; életrajzok,http://nektar.oszk.hu/hu/manifestation/1353228,
Kovács Antal Kalliszt OFM,Ferences szentek és boldogok az év minden napjára,235.3A Vegyes,,Sümegi Ferences Rendház,2002,hagiográfia;szentek élete; életrajzok; ferences rend,http://nektar.oszk.hu/hu/manifestation/950042,
Mátray János,"Keresztneveink : szentek, vértanúk, névnapok",235.3 Vegyes M43,,Ecclesia,1960,keresztnévszótár; védőszentek; életrajz; szentek élete; kézikönyv,http://nektar.oszk.hu/hu/manifestation/1203877,
"Nigg, Walter","Szentek visszatérnek, A : A keresztény lét útmutatói",235.3 Vegyes N76,,Szt. István Társ.,1984,"hagiográfia; életrajz; szentek élete; Árpád-házi Szt Erzsébet; Sziléziai Szt Hedvig; 
Flüei Szt Miklós",http://nektar.oszk.hu/hu/manifestation/673263,
Puskely Mária SSND,"Virágos kert vala híres Pannónia... : példaképek a magyar múltból, X-XVII. század : forrásszövegek, forráskiadványok, szakirodalom, szépirodalom, ifjúsági és gyermek-irodalom, ének s zenei visszhangok, ikonográfia",235.3 Vegyes P97,,Ameko,1994,magyar történelem; hagiográfia; szentek élete; életrajzok; magyar szentek; ikonográfia; források,http://nektar.oszk.hu/hu/manifestation/141639,
Seregély István,Nevelnek a szentek,235.3 Vegyes S51,,Szt. István Társ.,2005,hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/2570348,
,"III-IV. század szentjei, A",235.3 Vegyes H32,,Jel,1999,patrisztika; egyháztörténet; ókeresztény egyház; hagiográfia; szentek élete; vértanúk; életrajzok; Szt Ciprián; Remete Szt Antal; Nazianzoszi Szt Gergely; Tours-i Szt Márton; Szt Ambrus; Hippói Szt Ágoston+G1796,http://nektar.oszk.hu/hu/manifestation/366258,
,"Istennek tetsző életek : Imádságok, képek, történetek a katolikus egyház szentjeiről, mártírjairól : Katolikus névnapok 1-8. köt.",235.3A Vegyes,,Kalendárium,1990,hagiográfia; szentek élete; életrajzok,http://nektar.oszk.hu/hu/manifestation/547785,
,Legendák könyve : istenes olvasmányok : Mai élet csodái : Szentek élete,235.3 Vegyes L43,,M. Barát,1947,hagiográfia; életrajzok; magyar szentek ,http://nektar.oszk.hu/hu/manifestation/2950651,
"Hamburger, Gerd (Schermann Rudolf)","Ember, akinek múltja van","235.3 Vince, Páli Szt",,Opus Mystici Corporis,1985,egyháztörténet; szerzetesrendek története; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/1401546,
Kárpáti Pál,"Szent Vince, a szeretet apostola","235.3 Vince, Páli Szt",,Kršćanska sadašnjost - Agapé,1990,Vincent de Paul; hagiográfia; életrajz; szentek élete; szerzetesség története,http://nektar.oszk.hu/hu/manifestation/819252,
Alszeghy Zoltán SJ,"Ember jövője, Az",236 A48,,Detti Ny.,1981,dogmatika; eszkatológia; örök élet; jövőkép; Teológiai kiskönyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/1397673,
"Balthasar, Hans Urs von",Mit szabad remélnünk?; Rövid értekezés a pokolról; Apokatasztaszisz,236 B26,,Sík S. Kiadó,2006,dogmatika; eszkatológia; erkölcsteológia; remény; üdvösség; Hippói Szt Ágoston; Maurice Blondel,http://nektar.oszk.hu/hu/manifestation/2643406,
Bolberitz Pál,Reménység és jövő,236 B76,,Ecclesia,1972,dogmatika; eszkatológia; jövőkép,http://nektar.oszk.hu/hu/manifestation/1263482,
György Attila,Testvérünk a halál : Vigasztaló gondolatok szeretteink sírjánál,236 G90,,szerző,1991,lelkiség; gyász; homiletika,http://nektar.oszk.hu/hu/manifestation/677927,
"Kremer, Jacob","Halottak jövője, A : a személyes feltámadás reménye a századok folyamán",236 K94,,Szt. István Társ.,1991,eszkatológia; halál; bibliamagyarázat; Újszövetség,http://nektar.oszk.hu/hu/manifestation/9405,
"Moody, Raymond Avery","Fényen túl, A : Az Élet az élet után szerzőjének újabb kutatásai",236 M85,,Szt. István Társ.,1989,halál és tudat; tetszhalál; túlvilág; pszichológia és teológia,http://nektar.oszk.hu/hu/manifestation/673438,
